CAS #,Field #,Locality,County,Sex,Year,SL,CBL,PL,MSW,MW,ML,MFL,MA,RPL,SSI,RMW,CBL/SL
MAM 34739,RB 5719,"Richmond, Point San Pablo, just south of East Brothers Light Station",Contra Costa,Male,2006,230,290.59,123.39,154.02,132.1,197.62,65.07,0.33,0.42,0.53,0.45,1.26
MAM 34738,RB 5714,Point Ano Nuevo,San Mateo,Male,2006,239,288.38,126.81,159.62,148.19,206.36,67.44,0.33,0.44,0.55,0.51,1.21
MAM 34743,RB 5731,"Moss Beach, Fitzgerald Marine Reserve",San Mateo,Male,2006,247,293.58,120.65,168.7,155.28,203.47,72.12,0.35,0.41,0.57,0.53,1.19
MAM 34741,RB 5728,"Thornton State Beach, north end of beach",San Mateo,Male,2006,231,276.72,118.11,NA,144.1,200.61,67.34,0.34,0.43,NA,0.52,1.2
MAM 33064,RB 1454,Ano Nuevo Point,San Mateo,Male,1969,236.2,297.8,129.23,161.56,142.84,202.08,66.64,0.33,0.43,0.54,0.48,NA
MAM 33063,RB 1445,Ano Nuevo Point,San Mateo,Male,1969,237.5,282.56,122.19,164.45,141.97,192.29,67.82,0.35,0.43,0.58,0.5,NA
MAM 34647,RB 1429,Crescent City,Del Norte,Male,1969,NA,294.89,128.47,167.82,155.2,206.79,69.46,0.34,0.44,0.57,0.53,NA
MAM 15130,L. C. Binford; J. Schonewald - 531,Point Reyes National Seashore,Marin,Male,1969,217.9,295.15,120.61,158.93,150.21,207.86,71.83,0.35,0.41,0.54,0.51,1.35
MAM 15131,L. C. Binford; J. Schonewald - 532,Point Reyes National Seashore,Marin,Male,1969,NA,271.09,111.81,141.38,117.38,NA,53.07,NA,0.41,0.52,0.43,NA
MAM 22623,IDS49IS49,"San Francisco, Ocean Beach",San Francisco,Male,1985,NA,283.61,110.92,170.44,152.65,195.84,69.65,0.36,0.39,0.6,0.54,NA
MAM 22986,LT2450LT2450,"San Francisco, Aquatic Park, Golden Gate National Recreation Area",San Francisco,Male,1987,NA,280.33,116.56,163.61,139.86,194.12,71.99,0.37,0.42,0.58,0.5,NA
MAM 22244,MMC47CSL,Sunset Beach,Monterey,Male,1977,231,294.48,119.17,160.54,151.02,202.33,68.69,0.34,0.4,0.55,0.51,1.27
MAM 22833,LT2355LT2355,Bolinas Beach,Marin,Male,1986,NA,280.94,114.06,154.43,143.54,193.68,57.11,0.29,0.41,0.55,0.51,NA
MAM 21413,REJREJ68-40,Moss Landing,Monterey,Male,1968,233,290.77,115.78,160.96,149.77,205.68,71.16,0.35,0.4,0.55,0.52,1.25
MAM 21405,REJ641,"Bolinas, 1.0 mile north of Agate Beach",Marin,Male,1973,221,285.79,123.08,161.77,144.81,204.51,66.24,0.32,0.43,0.57,0.51,1.29
MAM 21406,REJ703,"Berkeley, Berkeley Marina",Alameda,Male,1973,235,291.01,122.4,162.85,148.25,205.55,65.76,0.32,0.42,0.56,0.51,1.24
MAM 21402,REJ680REJ680,Bodega Head,Sonoma,Male,1973,238,275.88,110.6,151.48,133.65,189.52,63.35,0.33,0.4,0.55,0.48,1.16
MAM 21403,REJ660REJ660,Bodega Marine Lab beach,Sonoma,Male,1973,215,276.85,112.37,148.47,135.11,187.67,68.37,0.36,0.41,0.54,0.49,1.29
MAM 21401,REJREJ70-248,Mattole River,Humboldt,Male,1970,243.75,282.24,117.27,168.23,150.26,198.66,74.21,0.37,0.42,0.6,0.53,1.16
MAM 12884,R. T. Orr - 2653,Ano Nuevo Island,San Mateo,Male,1964,210.24,287.39,117.68,153.48,143.68,199.57,61.97,0.31,0.41,0.53,0.5,1.37
MAM 12869,R. T. Orr - 2633,Ano Nuevo Island,San Mateo,Male,1963,NA,276.56,118.52,159.85,136.75,187.14,65.12,0.35,0.43,0.58,0.49,NA
MAM 12876,R. T. Orr - 2636,Ano Nuevo Island,San Mateo,Male,1963,NA,275.49,118.25,155.63,131.43,189.82,64.47,0.34,0.43,0.56,0.48,NA
MAM 12867,R. T. Orr - 2631,Ano Nuevo Island,San Mateo,Male,1963,NA,270.19,110.95,146.55,129.89,190.99,63.5,0.33,0.41,0.54,0.48,NA
MAM 12865,R. T. Orr,Ano Nuevo Island,San Mateo,Male,1963,NA,292.67,124.71,158.1,150.62,NA,NA,NA,0.43,0.54,0.51,NA
MAM 26710,RB 1735,Ano Nuevo Island,San Mateo,Male,1970,NA,NA,126.28,162.63,144.17,201.81,73.52,0.36,NA,NA,NA,NA
MAM 25876,RB 2826,Ano Nuevo Island,San Mateo,Male,1980,205.5,269.32,NA,149.24,135.02,NA,67.27,NA,NA,0.55,0.5,NA
MAM 34688,RB 4328,Half Moon Bay,San Mateo,Male,1998,226,269.92,122.69,139.45,121.62,189.11,57.2,0.3,0.45,0.52,0.45,1.19
MAM 34655,RB 2263,Ano Nuevo Island ,San Mateo,Male,1974,NA,269.21,111.44,150.28,137.28,184.38,62.26,0.34,0.41,0.56,0.51,NA
MAM 34657,RB 2449,Ano Nuevo Point area,San Mateo,Male,1976,218.9,268.72,115.82,153.94,143.26,NA,NA,NA,0.43,0.57,0.53,1.23
MAM 34744,RB 5736,"Bodega Bay, Miwok Beach",Sonoma,Male,2006,231,268.05,126.16,165.3,143.32,206.18,76.03,0.37,0.47,0.62,0.53,1.16
MAM 27479,RB 5263,"San Francisco, Ocean Beach, end of Quintara Street",San Francisco,Male,2004,226,269.66,115.93,152.66,134.64,NA,54.04,NA,0.43,0.57,0.5,1.19
